# E0 = 19.46
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20
2.200000,6.7370769204e-01,5.5671250149e-01,5.7065617536e-01,4.6272663598e-01,4.9864875503e-01,4.6167259384e-01,5.2258516649e-01,4.7583773647e-01,5.3650417341e-01,4.6833664721e-01,5.3165403514e-01,4.6347042786e-01,5.2415677210e-01,4.7732290173e-01,5.3839645384e-01,5.0128078850e-01,5.3729889990e-01,4.2927683798e-01,4.4349325482e-01,3.2626155081e-01
2.250000,6.7020180698e-01,5.5998976930e-01,5.6962057779e-01,4.6882640710e-01,4.9346082542e-01,4.6697619991e-01,5.1475400922e-01,4.8132661186e-01,5.2970438322e-01,4.7488478571e-01,5.2510613410e-01,4.7027048288e-01,5.1866426448e-01,4.8515600311e-01,5.3308054121e-01,5.0647165357e-01,5.3119624154e-01,4.3028829844e-01,4.4025437731e-01,3.2976662682e-01
2.300000,6.6557474224e-01,5.6308298688e-01,5.6963946020e-01,4.7465128336e-01,4.8916121786e-01,4.7184420767e-01,5.0763490817e-01,4.8591467824e-01,5.2342333905e-01,4.8076768245e-01,5.1922353925e-01,4.7655208627e-01,5.1407166761e-01,4.9227797982e-01,5.2819766620e-01,5.1077447341e-01,5.2537458471e-01,4.3024494058e-01,4.3719273156e-01,3.3439582449e-01
2.350000,6.6002114812e-01,5.6600049906e-01,5.7049687271e-01,4.8007619435e-01,4.8592686460e-01,4.7616462875e-01,5.0138884108e-01,4.8948039708e-01,5.1778792021e-01,4.8582506863e-01,5.1416650322e-01,4.8218838686e-01,5.1050082149e-01,4.9852753883e-01,5.2386038851e-01,5.1401239361e-01,5.1995842362e-01,4.2936343508e-01,4.3429911729e-01,3.3995455688e-01
2.400000,6.5375650138e-01,5.6876754782e-01,5.7189520297e-01,4.8504652151e-01,4.8388088657e-01,4.7985838878e-01,4.9613949519e-01,4.9196198170e-01,5.1287393969e-01,4.8994594514e-01,5.1004578726e-01,4.8710326618e-01,5.0801410566e-01,5.0378074292e-01,5.2014850308e-01,5.1606229406e-01,5.1500139659e-01,4.2794234279e-01,4.3154777537e-01,3.4622737533e-01
2.450000,6.4700830282e-01,5.7141507118e-01,5.7349494342e-01,4.8957090881e-01,4.8308687408e-01,4.8288138372e-01,4.9197645527e-01,4.9335356467e-01,5.0871225334e-01,4.9307005521e-01,5.0692190001e-01,4.9126630316e-01,5.0661766360e-01,5.0794770017e-01,5.1710704208e-01,5.1686052006e-01,5.1049330661e-01,4.2632211573e-01,4.2890743120e-01,3.5298620486e-01
2.500000,6.4000369920e-01,5.7396617351e-01,5.7495211870e-01,4.9370377039e-01,4.8354506907e-01,4.8522357540e-01,4.8895004275e-01,4.9369584329e-01,5.0529502431e-01,4.9518417393e-01,5.0480794087e-01,4.9468504600e-01,5.0627119797e-01,5.1097781025e-01,5.1474697775e-01,5.1640694406e-01,5.0637807085e-01,4.2484783540e-01,4.2635512894e-01,3.6000355735e-01
2.550000,6.3296057741e-01,5.7642927437e-01,5.7595654722e-01,4.9752853816e-01,4.8519572143e-01,4.8691354416e-01,4.8706878281e-01,4.9307025038e-01,5.0258479477e-01,4.9632241517e-01,5.0366970734e-01,4.9739677521e-01,5.0689368093e-01,5.1286214452e-01,5.1304070449e-01,5.1476122359e-01,5.0257051333e-01,4.2383069988e-01,4.2388282176e-01,3.6706128308e-01
2.600000,6.2607749456e-01,5.7879236673e-01,5.7626103326e-01,5.0113717623e-01,4.8792444152e-01,4.8801927406e-01,4.8629373236e-01,4.9159067933e-01,5.0052125620e-01,4.9656196808e-01,5.0342975037e-01,4.9946160903e-01,5.0837127915e-01,5.1363948001e-01,5.1192106934e-01,5.1203777544e-01,4.9897698295e-01,4.2351889440e-01,4.2150330073e-01,3.7396043625e-01
2.650000,6.1952668306e-01,5.8102203780e-01,5.7570287387e-01,5.0461381411e-01,4.9157171034e-01,4.8864771982e-01,4.8653641303e-01,4.8939743719e-01,4.9902869017e-01,4.9601832557e-01,5.0397214649e-01,5.0095523054e-01,5.1056365623e-01,5.1339827656e-01,5.1128175531e-01,5.0839603392e-01,4.9551210662e-01,4.2407600400e-01,4.1925084112e-01,3.8052824426e-01
