# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
3.400000,6.0482286806e-01,6.1874969336e-01,5.3273080944e-01,5.6788350317e-01,5.1854234827e-01,4.8126915064e-01,4.3231283313e-01,4.6770658388e-01,3.8072365469e-01,3.9525855536e-01
3.450000,6.0953489983e-01,6.1434255269e-01,5.3554684363e-01,5.6311806330e-01,5.1141796876e-01,4.8838698104e-01,4.3711526275e-01,4.6487665256e-01,3.8512885638e-01,3.9053191904e-01
3.500000,6.1410360474e-01,6.0966321729e-01,5.3915340764e-01,5.5804533529e-01,5.0352490434e-01,4.9628609654e-01,4.4221354884e-01,4.6124495437e-01,3.8981771514e-01,3.8594721580e-01
3.550000,6.1838087269e-01,6.0495336959e-01,5.4319674713e-01,5.5292046237e-01,4.9546509345e-01,5.0436627683e-01,4.4735031247e-01,4.5716622802e-01,3.9454763674e-01,3.8165300071e-01
3.600000,6.2222775028e-01,6.0044765238e-01,5.4730158684e-01,5.4802666321e-01,4.8789907013e-01,5.1196772850e-01,4.5224153103e-01,4.5301682030e-01,3.9908246491e-01,3.7778873242e-01
3.650000,6.2551800541e-01,5.9636496646e-01,5.5111021589e-01,5.4364350879e-01,4.8147051625e-01,5.1844626597e-01,4.5660844788e-01,4.4915564117e-01,4.0320123827e-01,3.7448119391e-01
3.700000,6.2814147341e-01,5.9290094981e-01,5.5432227683e-01,5.4001050315e-01,4.7671950980e-01,5.2325991509e-01,4.6021393221e-01,4.4588448799e-01,4.0670582305e-01,3.7184112866e-01
3.750000,6.3000717505e-01,5.9022117329e-01,5.5672795382e-01,5.3729489327e-01,4.7400176846e-01,5.2604970124e-01,4.6289436011e-01,4.4341499449e-01,4.0942787778e-01,3.6996010249e-01
3.800000,6.3104627216e-01,5.8845462813e-01,5.5822757960e-01,5.3557231905e-01,4.7343280211e-01,5.2669573939e-01,4.6457845376e-01,4.4184912066e-01,4.1123556015e-01,3.6890752498e-01
3.850000,6.3121488172e-01,5.8768745166e-01,5.5883323988e-01,5.3482554969e-01,4.7487184382e-01,5.2533374278e-01,4.6528792414e-01,4.4117754482e-01,4.1204001295e-01,3.6872780854e-01
3.900000,6.3049661468e-01,5.8795740832e-01,5.5865207516e-01,5.3496123906e-01,4.7795156303e-01,5.2232588393e-01,4.6512010142e-01,4.4129622307e-01,4.1180109381e-01,3.6943779752e-01
3.950000,6.2890451336e-01,5.8925016608e-01,5.5785537218e-01,5.3583927787e-01,4.8214841778e-01,5.1819105159e-01,4.6421808975e-01,4.4203702701e-01,4.1053129093e-01,3.7102479345e-01
4.000000,6.2648192453e-01,5.9149861705e-01,5.5664078716e-01,5.3730587490e-01,4.8687843049e-01,5.1350960610e-01,4.6273739824e-01,4.4320516196e-01,4.0829655812e-01,3.7344564146e-01
4.050000,6.2330184059e-01,5.9458621815e-01,5.5519615302e-01,5.3922116560e-01,4.9159717042e-01,5.0882375207e-01,4.6081828374e-01,4.4461498891e-01,4.0521307705e-01,3.7662735044e-01
